rank	taxid	taxon	taxonomy_rank	taxonomy_standard	D	P	C	O	F	G	taxon_taxid
F	43878	Bacteroidales RF16 group	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Bacteroidales RF16 group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales RF16 group;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales RF16 group		Bacteroidales RF16 group (taxid 43878)
F	43937	Porphyromonadaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Porphyromonadaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae		Porphyromonadaceae (taxid 43937)
G	43939	Porphyromonas	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Porphyromonadaceae;G__Porphyromonas	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas (taxid 43939)
F	43898	F082	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__F082	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;F082;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082		F082 (taxid 43898)
F	43882	Barnesiellaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Barnesiellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae		Barnesiellaceae (taxid 43882)
G	43883	Barnesiella	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Barnesiellaceae;G__Barnesiella	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella (taxid 43883)
F	43979	Rs-E47 termite group	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Bacteroidales;F__Rs-E47 termite group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rs-E47 termite group;	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rs-E47 termite group		Rs-E47 termite group (taxid 43979)
O	44057	Cytophagales	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Cytophagales	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;;	Bacteria	Bacteroidota	Bacteroidia	Cytophagales			Cytophagales (taxid 44057)
F	44135	Spirosomaceae	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Cytophagales;F__Spirosomaceae	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae		Spirosomaceae (taxid 44135)
G	44143	Fluviimonas	R__root;D__Bacteria;P__Bacteroidota;C__Bacteroidia;O__Cytophagales;F__Spirosomaceae;G__Fluviimonas	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Fluviimonas	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Fluviimonas	Fluviimonas (taxid 44143)
