rank	taxid	taxon	taxonomy_rank	taxonomy_standard	D	P	C	O	F	G	taxon_taxid
G	45451	Lachnospiraceae NC2004 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Lachnospiraceae NC2004 group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NC2004 group	Lachnospiraceae NC2004 group (taxid 45451)
G	45449	Lachnospiraceae FCS020 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Lachnospiraceae FCS020 group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae FCS020 group	Lachnospiraceae FCS020 group (taxid 45449)
G	45448	Lachnospiraceae AC2044 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Lachnospiraceae AC2044 group	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae AC2044 group	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae AC2044 group	Lachnospiraceae AC2044 group (taxid 45448)
G	45447	Lachnospira	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Lachnospira	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira (taxid 45447)
G	45415	Acetitomaculum	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Acetitomaculum	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetitomaculum	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum	Acetitomaculum (taxid 45415)
G	45429	Coprococcus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Lachnospiraceae;G__Coprococcus	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus (taxid 45429)
F	45406	Defluviitaleaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Defluviitaleaceae	Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae		Defluviitaleaceae (taxid 45406)
G	45408	Defluviitaleaceae UCG-011	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Defluviitaleaceae;G__Defluviitaleaceae UCG-011	Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitaleaceae UCG-011	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae UCG-011	Defluviitaleaceae UCG-011 (taxid 45408)
G	45407	Defluviitalea	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Lachnospirales;F__Defluviitaleaceae;G__Defluviitalea	Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitalea	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitalea	Defluviitalea (taxid 45407)
O	45508	Oscillospirales	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales	Bacteria;Firmicutes;Clostridia;Oscillospirales;;	Bacteria	Firmicutes	Clostridia	Oscillospirales			Oscillospirales (taxid 45508)
F	45520	Oscillospiraceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae		Oscillospiraceae (taxid 45520)
G	45535	uncultured	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__uncultured	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured	uncultured (taxid 45535)
G	45521	Colidextribacter	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__Colidextribacter	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	Colidextribacter (taxid 45521)
G	45525	Oscillibacter	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__Oscillibacter	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter (taxid 45525)
G	45532	UCG-005	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__UCG-005	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	UCG-005 (taxid 45532)
G	45524	NK4A214 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__NK4A214 group	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group	NK4A214 group (taxid 45524)
G	45527	Papillibacter	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__Papillibacter	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Papillibacter	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter	Papillibacter (taxid 45527)
G	45526	Oscillospira	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__Oscillospira	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospira	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospira	Oscillospira (taxid 45526)
G	45530	UCG-002	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__UCG-002	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	UCG-002 (taxid 45530)
G	45534	V9D2013 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Oscillospiraceae;G__V9D2013 group	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;V9D2013 group	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	V9D2013 group	V9D2013 group (taxid 45534)
F	45536	Ruminococcaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae		Ruminococcaceae (taxid 45536)
G	45557	uncultured	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__uncultured	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	uncultured	uncultured (taxid 45557)
G	45552	Ruminococcus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Ruminococcus	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus (taxid 45552)
G	45547	Incertae Sedis	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Incertae Sedis	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	Incertae Sedis (taxid 45547)
G	45538	Anaerotruncus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Anaerotruncus	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus (taxid 45538)
G	45541	Candidatus Soleaferrea	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Candidatus Soleaferrea	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea	Candidatus Soleaferrea (taxid 45541)
G	45556	[Eubacterium] siraeum group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__[Eubacterium] siraeum group	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	[Eubacterium] siraeum group	[Eubacterium] siraeum group (taxid 45556)
G	45544	Faecalibacterium	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Faecalibacterium	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium (taxid 45544)
G	45548	Negativibacillus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Negativibacillus	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus (taxid 45548)
G	45554	UBA1819	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__UBA1819	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1819	UBA1819 (taxid 45554)
G	45546	Harryflintia	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Harryflintia	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Harryflintia	Harryflintia (taxid 45546)
G	45549	Paludicola	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Paludicola	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Paludicola	Paludicola (taxid 45549)
G	45551	Pygmaiobacter	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Ruminococcaceae;G__Pygmaiobacter	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Pygmaiobacter	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Pygmaiobacter	Pygmaiobacter (taxid 45551)
F	45509	Butyricicoccaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Butyricicoccaceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae		Butyricicoccaceae (taxid 45509)
G	45510	Butyricicoccus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Butyricicoccaceae;G__Butyricicoccus	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus (taxid 45510)
G	45512	UCG-009	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Butyricicoccaceae;G__UCG-009	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	UCG-009 (taxid 45512)
G	45511	UCG-008	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__Butyricicoccaceae;G__UCG-008	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-008	UCG-008 (taxid 45511)
F	45561	[Eubacterium] coprostanoligenes group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group		[Eubacterium] coprostanoligenes group (taxid 45561)
F	45558	UCG-010	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Oscillospirales;F__UCG-010	Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010		UCG-010 (taxid 45558)
O	45331	Clostridia UCG-014	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridia UCG-014	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014			Clostridia UCG-014 (taxid 45331)
O	45570	Peptostreptococcales-Tissierellales	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales			Peptostreptococcales-Tissierellales (taxid 45570)
F	45579	Anaerovoracaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae		Anaerovoracaceae (taxid 45579)
G	45582	Family XIII AD3011 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__Family XIII AD3011 group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII AD3011 group	Family XIII AD3011 group (taxid 45582)
G	45583	Family XIII UCG-001	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__Family XIII UCG-001	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Family XIII UCG-001	Family XIII UCG-001 (taxid 45583)
G	45581	Anaerovorax	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__Anaerovorax	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	Anaerovorax (taxid 45581)
G	45586	[Eubacterium] brachy group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__[Eubacterium] brachy group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] brachy group	[Eubacterium] brachy group (taxid 45586)
G	45587	[Eubacterium] nodatum group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;F__Anaerovoracaceae;G__[Eubacterium] nodatum group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	[Eubacterium] nodatum group	[Eubacterium] nodatum group (taxid 45587)
G	45574	Anaerococcus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;G__Anaerococcus	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;Anaerococcus	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales		Anaerococcus	Anaerococcus (taxid 45574)
G	45617	Peptoniphilus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;G__Peptoniphilus	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;Peptoniphilus	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales		Peptoniphilus	Peptoniphilus (taxid 45617)
G	45603	Finegoldia	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptostreptococcales-Tissierellales;G__Finegoldia	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;;Finegoldia	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales		Finegoldia	Finegoldia (taxid 45603)
O	45332	Clostridia vadinBB60 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridia vadinBB60 group	Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;;	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group			Clostridia vadinBB60 group (taxid 45332)
O	45563	Peptococcales	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptococcales	Bacteria;Firmicutes;Clostridia;Peptococcales;;	Bacteria	Firmicutes	Clostridia	Peptococcales			Peptococcales (taxid 45563)
F	45564	Peptococcaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptococcales;F__Peptococcaceae	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae		Peptococcaceae (taxid 45564)
G	45569	uncultured	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptococcales;F__Peptococcaceae;G__uncultured	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured	uncultured (taxid 45569)
G	45568	Peptococcus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Peptococcales;F__Peptococcaceae;G__Peptococcus	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	Peptococcus (taxid 45568)
O	45325	Christensenellales	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Christensenellales	Bacteria;Firmicutes;Clostridia;Christensenellales;;	Bacteria	Firmicutes	Clostridia	Christensenellales			Christensenellales (taxid 45325)
F	45326	Christensenellaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Christensenellales;F__Christensenellaceae	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae		Christensenellaceae (taxid 45326)
G	45329	Christensenellaceae R-7 group	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Christensenellales;F__Christensenellaceae;G__Christensenellaceae R-7 group	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	Christensenellaceae R-7 group (taxid 45329)
G	45330	uncultured	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Christensenellales;F__Christensenellaceae;G__uncultured	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;uncultured	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	uncultured	uncultured (taxid 45330)
O	45505	Monoglobales	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Monoglobales	Bacteria;Firmicutes;Clostridia;Monoglobales;;	Bacteria	Firmicutes	Clostridia	Monoglobales			Monoglobales (taxid 45505)
F	45506	Monoglobaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Monoglobales;F__Monoglobaceae	Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae		Monoglobaceae (taxid 45506)
G	45507	Monoglobus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Monoglobales;F__Monoglobaceae;G__Monoglobus	Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	Monoglobus (taxid 45507)
O	1863	Clostridiales	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales	Bacteria;Firmicutes;Clostridia;Clostridiales;;	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales (taxid 1863)
F	25630	Clostridiaceae	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		Clostridiaceae (taxid 25630)
G	45342	Clostridium sensu stricto 1	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae;G__Clostridium sensu stricto 1	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1 (taxid 45342)
G	45341	Candidatus Arthromitus	R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae;G__Candidatus Arthromitus	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Candidatus Arthromitus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus	Candidatus Arthromitus (taxid 45341)
C	1673	Bacilli	R__root;D__Bacteria;P__Firmicutes;C__Bacilli	Bacteria;Firmicutes;Bacilli;;;	Bacteria	Firmicutes	Bacilli				Bacilli (taxid 1673)
O	1800	Lactobacillales	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales	Bacteria;Firmicutes;Bacilli;Lactobacillales;;	Bacteria	Firmicutes	Bacilli	Lactobacillales			Lactobacillales (taxid 1800)
F	1836	Lactobacillaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae		Lactobacillaceae (taxid 1836)
G	1837	Lactobacillus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae;G__Lactobacillus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus (taxid 1837)
F	1850	Streptococcaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		Streptococcaceae (taxid 1850)
G	1853	Streptococcus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus (taxid 1853)
G	1851	Lactococcus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Lactococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus (taxid 1851)
F	1828	Enterococcaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae		Enterococcaceae (taxid 1828)
G	1831	Enterococcus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Enterococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus (taxid 1831)
F	1802	Aerococcaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae		Aerococcaceae (taxid 1802)
G	1804	Aerococcus	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Aerococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus (taxid 1804)
G	1807	Facklamia	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Facklamia	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia (taxid 1807)
F	1839	Leuconostocaceae	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae		Leuconostocaceae (taxid 1839)
G	1841	Leuconostoc	R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae;G__Leuconostoc	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc (taxid 1841)
