pathway	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
GLCMANNANAUT-PWY	31871.111245900487	29799.314700789717	30909.33392339214	33728.14343263581	35331.25682492306	51163.91032023574	47586.3532087361	40972.90471003506	36651.96971441512	31416.059020032044
GLUCARDEG-PWY	14409.474400671099	16534.293633740737	13796.407876638723	19973.00677778125	16423.73924425391	7984.050423031989	8238.246445554401	7043.53773563831	8197.793749676202	4999.403101315151
GLUCARGALACTSUPER-PWY	14083.478379438646	16171.574786136069	13467.124383120836	19726.771703541315	16109.531427616974	3883.373860019262	2396.087401886779	4389.970806865669	3591.404236320528	2335.2937371506628
GLUCONEO-PWY	53412.430954165444	45518.02274281972	52558.0263305629	47831.4346256758	51468.33759902423	76905.71993119444	73487.11604181273	70821.88500766583	67276.15860335191	56591.72531490072
GLUCOSE1PMETAB-PWY	20758.981804690997	21295.824062898482	21795.134089049356	25212.188683818666	23027.456220398624	20625.9000469959	14295.337076835065	35050.44736907578	25620.85346587286	32182.412254857656
GLUCUROCAT-PWY	32854.01368588134	31938.042522493113	27488.37918433752	35648.82750722253	32675.59218924622	24222.345282952352	28171.055996147465	21353.2515973642	21424.3147056566	17598.026327807172
GLUTORN-PWY	33845.90993943014	30931.93274649579	33467.7967220072	31481.72464478557	31300.91252557625	47578.16319000939	47681.87390781179	57368.8142537773	48442.71796285551	48199.75350458153
GLYCOCAT-PWY	46740.443525764895	37917.32096502999	47004.007478603686	41305.806625105935	42425.74501760671	71228.55241119745	72958.86575051492	66403.55814038076	62644.75743189268	57474.42873026562
GLYCOGENSYNTH-PWY	40143.0944822268	30962.82006448403	38342.0328485952	34879.440062298025	37662.35910294286	63077.740428373116	66440.59376660318	48495.07146152345	44766.62023915279	41209.71489660181
GLYCOL-GLYOXDEG-PWY	13426.153454044945	15499.469816002813	12609.71605682524	18554.278055465416	15855.814786067152	9177.257147969012	9709.235695195739	8056.328618682241	9681.904620725898	5640.640083034251
GLYCOLYSIS	55028.86536794855	47515.033027700556	56363.59840354444	51622.414139814784	57435.25593257894	87451.84394836723	81915.39604333106	75964.61135790615	72953.8741104766	61109.92552763527
GLYCOLYSIS-E-D	36890.58966856393	34192.821452097334	38717.937912816255	37739.40037607542	39149.68572371429	42163.886767835975	41566.242851783776	36841.30098046645	37114.017643574385	27857.73684896822
GLYCOLYSIS-TCA-GLYOX-BYPASS	33530.695949569454	33742.258095209814	34551.38853334293	37106.44598777921	35760.35190709129	32501.30287577763	28801.648315141414	32873.4448289647	31431.884770589444	20104.542440638197
GLYOXYLATE-BYPASS	18530.952585484025	20770.41981284833	20157.835794019287	23380.263903830622	21093.461859089017	18977.574173684294	20921.833098883122	19390.315293402837	21500.83734883001	11986.010702829899
GOLPDLCAT-PWY	14514.030025787903	16179.700941831703	21111.00763286484	20055.90853251667	16416.660087649692	2069.5650223202438	968.3052961244896	2254.1061476267814	1752.0870740123491	1779.250810856422
HCAMHPDEG-PWY	11468.197317778	13308.71311565006	4107.409125048235	16555.373925491414	13120.481408670017	1598.3601899988666	1409.1655959602535	1782.0059699908682	1664.9013214451375	1388.1970616226163
HEME-BIOSYNTHESIS-II	16129.029734376954	17483.155164427317	17388.651980866198	20183.092207897167	18014.89644037444	20652.26715117448	22251.147000528705	14482.81930852928	19992.680641798725	6419.260368662781
HEMESYN2-PWY	28105.45139461723	25647.527215798218	28999.91192285196	27291.814239788993	26751.81910144456	30427.51910327925	28151.450391870658	26776.019716162045	24354.79471190616	17811.208615834123
HEXITOLDEGSUPER-PWY	34061.38529425695	31982.27568043465	31750.890496715576	36808.76813216764	37159.147926613114	28532.320922814833	26174.46497341122	23930.95040829685	22903.782227322215	18045.465494248005
HISDEG-PWY	23479.903372689634	23806.104411340966	27255.114213332654	21723.794428177214	20843.719122676488	29897.164081381998	29902.527102307045	24625.133978144775	29237.48246001071	13896.296752348348
HISTSYN-PWY	34891.828279513196	29761.881614376234	34548.63258945935	30221.427053186104	30694.961322919844	52683.338938640634	52760.9886435053	54875.29600833197	47596.21425888237	47475.40111690939
HOMOSER-METSYN-PWY	35271.10105461804	32409.616437271252	35473.68597034669	35842.92113937207	35656.89843018561	26582.88980569474	21730.37544598741	25827.316217253087	22445.44393405929	16773.3924136896
HSERMETANA-PWY	35605.35580806932	29951.347764936763	35923.2599765131	26860.524190571523	30570.955155483258	28180.132241848944	22712.18547474643	39919.91344052201	24910.446046833844	33823.84317586002
ILEUSYN-PWY	48268.34666204425	40528.44382741513	48387.77207502997	41045.38631604161	42412.35504074547	77164.7982327165	80207.14069740835	74860.28460920144	69914.60288529971	61826.645388986304
KDO-NAGLIPASYN-PWY	24705.366411211162	24362.802129773354	27017.847193298345	23452.318176207355	22804.676722242835	24881.691693814326	25739.110188000213	23830.437142388688	26498.13774886861	19922.728088429365
KETOGLUCONMET-PWY	0.0	0.0	42.4103273792167	0.0	388.43399409980805	7.997907387510635	0.0	1.4999267866497896	2.9997356233443413	0.0
LACTOSECAT-PWY	4146.624765615634	5100.201759542551	5349.903865087665	6009.352755670508	8863.649352581286	18007.062486167113	9898.428447594355	10500.902004240308	7452.742556402427	6840.380635867207
LEU-DEG2-PWY	751.7626382399263	1064.421346628433	2382.947775327237	1213.2538513593247	1700.655975802886	1785.3692970882075	174.06893442867357	3677.564339000598	1007.4733548806271	473.392730515438
LIPASYN-PWY	0.0	0.0	0.0	0.7245670730466821	0.0	0.0	0.0	0.0	0.0	0.0
LPSSYN-PWY	277.63899751737347	421.6515800626796	516.3322297247885	215.21929445266008	1018.9040977769844	3802.0369909685483	4996.090763855853	3198.897653282126	4720.636575160415	2490.039544922685
MET-SAM-PWY	44074.46385816049	38459.75220455766	43756.749543069534	41260.851913367755	42860.83079561809	36663.78748113708	30265.006519326187	35527.43209533678	30824.014120334625	23666.590805984037
METH-ACETATE-PWY	1055.9131242849335	111.21941813739257	955.7141922660848	50.33327247002338	742.984461872329	140.82791042172983	220.51443004808493	151.47701571880256	81.0706823307615	199.60150706531272
METHGLYUT-PWY	957.0987933065976	1137.1775469806687	2093.893512463794	866.7405209114212	1392.9591993831398	6940.2009970795525	8098.651899521162	7098.782178597318	8001.005615343058	4358.294940235871
METHYLGALLATE-DEGRADATION-PWY	6218.518796728657	7126.265318273516	3627.7268270315417	8774.011421427487	6976.687769242197	447.5210627972834	144.71917970603707	647.2774594108403	365.38933367275376	480.9286675332741
NAD-BIOSYNTHESIS-II	18406.7061298047	19615.165845197822	18267.560857975965	23206.45505496319	19892.985539629186	10258.128155346778	12785.542323854328	11643.326597997715	11441.39776878765	7106.273640559604
NADSYN-PWY	63.06591594625195	0.0	85.44582597399062	0.0	0.0	7.976671482779249	0.0	0.0	7.963564842637298	0.0
NAGLIPASYN-PWY	29947.78625737236	27597.152090592044	33079.31531600436	24446.54123776948	24899.729521725556	44146.09686772568	42004.249866143284	48821.24764184063	46765.292243083386	39658.799110629814
NONMEVIPP-PWY	41521.90679431097	32037.63029464774	41357.43990143929	32081.825445356342	33064.31859943745	61379.02958190845	65122.7773327918	61057.74849312338	57540.41692416227	51714.088801675556
NONOXIPENT-PWY	78678.11538706654	73397.87445929775	67278.17569050963	83824.9627997153	75080.29088427413	92832.06766301197	93035.95864938042	75006.73708107114	72877.5431865277	61003.426230620134
OANTIGEN-PWY	32500.14332054012	25126.288096263666	35645.880849957975	25313.77592414282	31939.098734188075	50250.00409201481	46667.033194896816	38149.16284874397	33564.43032813995	32869.6275849551
ORNARGDEG-PWY	15825.958263096401	17380.304836032778	11328.829040132525	20553.915992868177	18060.659068809036	9651.613028464175	10248.567841092528	9437.125929132748	10070.274871727155	6308.378170022165
ORNDEG-PWY	15355.52025217875	16355.362580975636	16653.337175349647	19788.531282878303	17960.693233889262	9108.349159910753	9936.114172098683	9567.610902341934	9459.918760360533	6003.633501714543
P101-PWY	102.25943422003361	19.142190244759963	197.43020201214276	13.82156534606511	104.97783047670845	39.25356524454325	17.269065217666743	42.35055223359469	18.847402264621746	7.486911683263882
P105-PWY	36377.4622262981	36372.211709680465	38077.206998316484	37859.46653733111	37039.57550944553	36720.89305123909	33428.595493889	39522.682780704265	35242.7211624143	23570.604891042774
P108-PWY	23485.337322828796	20147.367897921536	26591.0306482928	11908.763739374182	18486.080746423493	54500.89213374052	54595.98309405661	61161.68828292312	58792.707198020165	47863.492222260444
P122-PWY	11940.119839153915	11469.225968411263	13440.835056729456	14752.709270169376	23727.306151170316	37599.0787160855	25616.644308416	22790.436501061668	18208.90256089191	16982.677515344723
P124-PWY	13805.307587878446	12798.123512226264	15796.428169710221	16196.700098072039	26519.768445512334	44823.905362707956	29974.624584291356	27125.04007282272	20984.85701686079	21399.595649172566
P125-PWY	289.97268027248384	376.4678083736889	883.6989597476238	567.2440840152598	1328.9404244813832	1459.4117697517006	182.34955373839298	2812.4176907120395	619.1070813690169	146.43657195052407
P161-PWY	56324.722539025555	50869.129848111465	39416.20100370609	58766.20033447616	69721.25179036942	49850.12551404925	38126.841339247105	34239.008136747536	29040.018857048122	27915.080512145054
P162-PWY	1724.8933685768977	1228.8002174619987	2601.4406339979596	1585.5780560277278	1687.4109987232368	3195.499350222503	328.40284204121957	2167.5145826116072	1348.957893672625	303.02560397065
P163-PWY	6395.5676395948285	882.0863064215242	6851.545868855088	1206.3451819801212	1501.8028674499653	4257.15110227128	3112.1207052618524	5749.6275719202	1211.627044460934	2541.840915843644
P164-PWY	13806.19867827608	8255.202242174282	9056.834244005913	10302.195684996655	10542.920740310747	15198.784280890877	13981.136848965129	12618.656283880426	9570.544903734339	8466.996998204902
P184-PWY	87.99447199438247	27.118855921800066	136.53844195525826	31.716063375436654	69.62519090886317	61.616783407334346	25.996389651446187	51.1689923203614	21.63333536465747	6.945998367187468
P221-PWY	396.58935345892957	884.5812769181706	2238.6157218053504	1174.8275188573682	1758.8434149985942	1557.9662425113465	5.999323412135593	4114.732031153431	1046.4991500253504	0.0
P23-PWY	37105.60361217472	36338.294642577595	41589.45110997111	35509.88358242107	37243.93037372398	44229.60999775026	35864.43008310943	40949.69965757187	38571.784793527804	25888.070167849302
P241-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.39855324299359	0.0	0.0
P261-PWY	0.0	0.0	0.0	0.0	0.0	10.74486615723887	0.0	0.0	0.0	0.0
P281-PWY	12664.348771015995	13673.046489257385	2848.4235609523416	16578.397489363517	13034.538514838781	976.3810592954416	358.501784286016	1127.7057979162996	800.5294880515773	1075.6294352501561
P341-PWY	632.3173133282856	59.95756722225741	240.69812457323883	445.31475870701524	250.6099226866046	657.0466694446186	2518.6990624186483	1379.1747215426963	898.4897216104524	680.6193157858307
P381-PWY	411.29668508886476	3266.741058167767	5237.219678745127	4103.714090365794	4454.687332859722	4498.1114577144035	0.0	4482.8256433440565	3057.2164759127213	0.0
P4-PWY	36664.735141967314	32294.437350563483	35765.99334458289	35402.31558064195	35759.54600062651	41097.02494609268	37326.179028674	36885.04101590344	33485.07150348167	28174.587852860364
P42-PWY	52386.43765533748	46309.79398604588	55164.62026661296	39276.6504423674	43677.874753727265	84045.24990802273	79653.51344510014	80863.89806673786	79683.25849480488	64016.13151325598
P441-PWY	44145.52611407409	40857.67887545597	41518.794124074426	45669.177465338646	47954.343034459765	52911.63513053129	49507.633173828486	44858.46820602978	41861.20776613212	35723.50008676205
P461-PWY	38114.25779467028	35307.039043906	31699.705587098088	41338.639811963876	37029.054432780526	24726.475941710316	17769.33920556704	19175.818927634686	15097.512286704234	13942.343556581502
P562-PWY	16340.35824465366	16972.49329492639	14969.393503739408	21161.547755389187	17006.686543982436	2119.7655777819327	694.1412426599661	2726.1713587971253	1519.0076013989378	1255.7891302900614
P621-PWY	0.0	0.0	7.899266534453993	0.0	0.0	0.0	0.0	0.0	0.0	0.0
