pathway	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
PWY-7456	10957.535317127122	11205.632603728254	13510.315250673231	6307.982841778243	11791.894670184342	23803.10567948628	18981.667275281485	21565.036441314496	15579.794277970237	14539.805651102995
PWY-7539	35769.20998086855	30078.979307038404	39535.54329492881	29261.773537078647	30724.084069759694	51061.92743249875	52491.04448608263	46003.751108281314	50403.141764356886	32759.807396073465
PWY-7560	41521.90679431097	32037.63029464774	41357.43990143929	32081.825445356342	33064.31859943745	61379.02958190845	65122.7773327918	61057.74849312338	57540.41692416227	51714.088801675556
PWY-7616	6.417758785541497	0.0	0.0	0.0	0.0	8.965676037026212	0.0	66.56235189864782	4.487140100654535	0.0
PWY-7663	65732.6273753283	58882.0896090646	62692.8399886758	61525.82335765516	64806.63704947117	94436.46121760209	93150.29082864289	86733.10056256718	82674.67060804417	69568.4204306784
PWY-7664	33416.817686733106	33810.68011644163	43416.135746504486	39181.94132085029	36786.21601697786	25906.59496953984	21459.98585390635	28873.494764288946	23218.122833931087	16592.82614049591
PWY-841	43546.06453210101	38609.38495327391	45383.95525117316	37827.146809335376	42685.8231869067	74219.22201857732	68813.89163701297	70010.59599340371	63956.43786242459	56920.95759919914
PWY-922	4869.119398976143	5144.312563000478	6446.735357128246	7155.4079642950755	13459.363557625082	18844.117594964355	10309.463933350411	10759.372070675452	7824.793770491365	6886.228239548033
PWY0-1061	41332.787150496835	38912.77877791378	42319.34631066178	43477.97680302501	43586.299594323056	42537.18031331453	35894.230235074836	55393.998823669106	44202.86850318357	47648.81349685543
PWY0-1241	17081.483786456225	16804.336284177476	17050.257351773947	19984.972588241977	17132.307943054086	10267.70762975681	10827.534246270081	8707.48242977537	10013.976245048656	7347.463360126103
PWY0-1261	48573.84722225818	43454.24678430711	49488.690686252165	48095.041566127446	50268.94765271642	53816.520664908625	51652.99326201565	45812.02348366213	42807.83942913691	35166.92472109383
PWY0-1277	14681.86654819983	16386.90890651144	5716.580736074587	20508.42910313812	16537.813076437866	2601.0920806891436	2194.9289181695945	2598.138144349967	2389.132643642758	2180.39216140954
PWY0-1296	34122.615899266806	29614.381310403423	30279.535925990822	35997.260980380706	34171.17106857193	42380.97388845235	44368.970481523414	30791.92090469093	30514.453678488586	24862.498417839764
PWY0-1297	36314.43466228625	32227.452439451583	30403.8947324813	39449.00771480139	37885.782836622195	41858.126247977976	38935.267661395126	29311.080779413587	28083.9442019602	23686.61862701176
PWY0-1298	36198.80011796315	31691.10874336572	30160.735295210103	38620.245517085576	36605.485923049404	41593.37140006699	38979.31615035166	28933.662062854688	27974.54845108582	23381.947242932336
PWY0-1319	53456.0231672765	42829.19924189068	54154.34732218059	44258.154969002215	49887.83173921331	86071.98656127058	82284.9854815937	79522.45065180362	71709.00751261	66742.5542250082
PWY0-1338	12821.294860791431	14739.116906637608	13436.522615757909	18046.806070792136	14913.703356828662	7264.349279622204	8821.864212033423	7397.783386451455	8645.829406008812	4734.512423182836
PWY0-1415	18957.410453272496	19717.604884502027	19698.28996558021	22320.60437993524	19663.703438115004	16253.211298669703	19823.719239717997	13403.160800726186	16924.928872073928	8065.883510775242
PWY0-1479	24801.620094456932	22578.076330813514	24354.943410727155	25253.73299554382	23798.36447688656	20094.15912553314	20849.054247319917	20510.14714294687	20287.841058040944	16858.120655202933
PWY0-1533	18102.96202577336	20994.384097393606	17484.98036167794	25137.100876657456	20732.321455061316	9635.480827851326	10996.9953645195	9140.786200754139	11263.77195182889	6694.673458654378
PWY0-1586	40131.89053269083	34814.084494417046	38894.62650121756	46043.45653574975	47877.19265067566	54024.74605641081	53093.43467383208	41080.48860616406	35192.17520519192	32288.84254491959
PWY0-162	44307.838076535096	39381.39956358521	46386.75323119735	39457.37924833964	44328.3402573116	77665.98253970189	71648.7525416793	74066.02550704138	68089.40412112775	60250.502530949365
PWY0-166	36439.495213811555	31928.12408177226	37970.755670813945	33192.9798605848	37414.671596713604	59150.05454460453	50082.96559937302	54594.953231931446	48334.72090708876	43941.574746824546
PWY0-321	15901.516265274873	18171.80264463653	16054.228266648612	21764.283501052538	18172.928653844192	2871.797632703416	2112.744516594452	5435.890658135848	2867.88705425294	2171.226058656928
PWY0-41	15821.989540516164	18037.43849988996	3216.0800619080474	22562.95967747789	17681.615373012974	2252.820538151123	2021.0627939784804	2515.256611551081	2316.242426317341	2014.102892874574
PWY0-42	242.83132532441434	665.424288159579	1460.7815995215797	734.1691959855481	984.5139105959954	1895.5341702176559	1304.591736051722	2217.5602621227104	1851.417987457167	635.3618864642865
PWY0-781	36048.73039980023	31749.543166731528	35799.466914761106	34685.97304785122	35018.00385038461	39368.733955441116	34986.446101158355	35727.20445845518	32036.262160382375	26650.241745895088
PWY0-845	28945.183386952463	29428.13172544808	32150.822608261664	30140.452500645264	30380.52447102875	45001.364834373	42865.695965327366	41242.69826386742	39537.845125277716	32990.49897602088
PWY0-862	30425.115753774673	31001.229885787827	40799.6007896384	36330.255599077995	33832.732873006455	22921.432104552536	18885.436316701293	25732.467865947463	20557.366532622316	14639.573015844346
PWY1G-0	2.9122786381243624	0.0	0.0	0.0	0.0	3.7498893832719196	0.0	28.528153999094823	1.8749724804789973	0.0
PWY490-3	4415.74151317069	584.5011241963294	3248.1851431183445	1529.5847693504968	1429.420919379269	4268.20050616574	3367.737350299455	2436.9302035760243	1302.0420447759955	1941.6075588732817
PWY4FS-7	47471.58769135311	40038.47751201374	45593.52888823601	43395.52047252905	47094.03389313761	69813.57515960222	60236.08305208525	67560.95290666737	52672.79716325343	55840.39614691545
PWY4FS-8	47471.58769135311	40038.47751201374	45593.52888823601	43395.52047252905	47094.03389313761	69813.57515960222	60236.08305208525	67560.95290666737	52672.79716325343	55840.39614691545
PWYG-321	33965.42115047484	34474.00782042006	44007.32568186554	40194.39841427878	37649.06726177366	26316.092195280155	21575.626486570287	29618.495788168406	23529.18978489843	17113.057371000235
PYRIDNUCSAL-PWY	31663.411562015848	25273.550843817608	31421.69879022547	26296.966712788166	25641.41293626447	44309.5305488705	50059.39762731707	40836.32187220893	45940.03832033792	34976.51501550601
PYRIDNUCSYN-PWY	31396.570195426513	25513.237263296374	32790.02335647224	27502.275566781078	28954.70771467339	50993.38639431968	49960.848902993595	52636.849918865664	49035.14121603252	43815.812513817
PYRIDOXSYN-PWY	23879.416217307422	24571.74369681724	28065.499866042417	24243.19290178578	24262.516755608613	39982.11276890192	38951.46990719175	42874.520545963795	43132.16252304429	31297.874063664032
REDCITCYC	39643.6028670198	40607.88493668109	34973.77550881667	40768.252060568586	41369.00216016978	26515.42349390784	20659.063333708727	27895.216292437617	25367.356050838214	14322.773815817547
RHAMCAT-PWY	17583.011342605732	19540.070193941327	17576.052869575597	20264.64503512853	20180.904015290653	21405.018740920183	20449.635624007842	16762.07526122316	16079.366509634066	13931.576944318433
RIBOSYN2-PWY	38485.23920312053	31095.190400751668	40284.334723785025	30802.458519039552	33489.35121077922	58202.38595307459	55050.629575773215	57715.15848730671	53860.36874394727	47330.549765317664
RUMP-PWY	10667.479727325857	1038.3074308802838	9761.229605787748	2032.8779232910365	2534.2932246870805	5133.057730696912	4393.5105692716315	3761.373236019557	3532.0764053156436	1862.904481707412
SALVADEHYPOX-PWY	10769.946260723298	9476.907569913752	15004.71768842262	12607.444849703304	13681.949162383808	27009.00211028939	20564.57147630791	18882.197488394486	16267.408974301317	13491.684991529813
SER-GLYSYN-PWY	47497.99021857513	38562.59728350808	44757.496822826935	39733.52352824494	42186.15431440395	70458.11411265287	71270.62046982534	66278.44364108705	65451.99611263436	51315.26723838993
SO4ASSIM-PWY	23360.747980450593	26009.456967821603	25452.950528483256	27886.604106242114	25529.562995553995	25814.319953046208	15705.141561765968	40799.33719447676	26251.040449546923	38602.983857690706
SUCSYN-PWY	0.0	139.55537916107497	327.79673257246213	219.02837114756946	199.19457636151756	215.78951008612106	0.0	282.1373810586234	234.01080677553705	0.0
SULFATE-CYS-PWY	32291.02801664306	32686.42516707823	34030.92441808586	33797.060287131084	32731.864192807392	39854.3048630528	27746.845828869653	50842.43042156777	38736.97110128093	44048.53924991079
TCA	41034.05667806474	40453.26297004323	43002.562078560244	42294.85141339519	39756.23968237052	63186.456509550626	64035.308612408335	67584.05507928944	65406.62462239416	53342.01731173718
TCA-GLYOX-BYPASS	25692.66130798302	28093.103743436357	26774.24948453858	30908.728073123715	28367.050573270193	23375.274928824223	19921.63093123224	24790.56954944931	23700.641137940645	13506.52746991027
TEICHOICACID-PWY	3949.882585434729	4694.264239136756	4983.177082596922	4648.00602944265	7415.269157086716	16900.617919140845	11484.25416179293	11334.469791536423	9034.575307663337	6631.220976456743
THISYN-PWY	33770.38459310796	29000.704421998566	36027.03345028401	27869.894604375324	29174.85475173434	47600.57164470017	41904.91746618819	52846.72565724542	44965.74230748067	43721.74067455689
THREOCAT-PWY	20522.618016590674	21347.81447051462	13742.104278958506	24098.083978627757	20887.175986742273	3656.3634158596315	1955.388909049901	4635.34006226979	3246.8590399178274	4158.216897871003
THRESYN-PWY	50530.99266968459	43111.547646679326	49277.244890531525	42876.58319245153	46864.79008908385	78080.08472557666	79275.71034866916	64900.882396614434	66684.74511000267	51943.15506623187
TRNA-CHARGING-PWY	46269.10986355203	37196.79041734678	47134.97495630993	38843.85062910999	43587.83414589037	76203.7834092322	72446.59656524291	69532.81457896323	64031.287675156505	57015.69501396846
TRPSYN-PWY	32737.580177680964	30487.8538477741	34833.63086118762	31669.39185383848	32767.524031821267	56621.74678292333	58110.6193452932	59572.85307058239	56605.61753673135	48150.73556677062
TYRFUMCAT-PWY	449.04842783187394	1082.678849759272	2118.9539042195875	1317.3836504662634	1619.7375853641176	1544.6100573754275	48.36833327890878	3162.016614709914	1026.2896836729105	239.9161891815683
UBISYN-PWY	19145.18662406816	20308.248412764642	20825.928740644562	24182.38008440955	21417.25650784803	12721.857927786383	11390.075680418857	14097.562943290013	13045.625851734088	9388.22572599975
UDPNAGSYN-PWY	33499.106297067294	27392.982976189443	34305.34357346131	32167.927144663045	36039.12778949888	45721.50350693271	40665.14352239433	33872.09021217007	29110.813324043094	27351.160998061405
VALDEG-PWY	1430.1934187984534	0.0	1085.80835828159	0.0	8.997152683746362	8.995606740736065	0.0	542.9272715579366	0.0	0.0
VALSYN-PWY	48268.34666204425	40528.44382741513	48387.77207502997	41045.38631604161	42412.35504074547	77164.7982327165	80207.14069740835	74860.28460920144	69914.60288529971	61826.645388986304
